ID,supplierId,productId,quantity,unitCost,purchaseDate
10000000-0000-0000-0000-000000001001,1,1,120,12.5,2026-01-10
10000000-0000-0000-0000-000000001002,1,2,100,13.25,2026-01-25
10000000-0000-0000-0000-000000001003,1,3,150,6.8,2026-02-14
10000000-0000-0000-0000-000000001004,2,4,80,14.5,2026-01-18
10000000-0000-0000-0000-000000001005,2,5,60,13.9,2026-03-02
10000000-0000-0000-0000-000000001006,3,6,100,16.5,2026-02-05
10000000-0000-0000-0000-000000001007,3,7,75,20.0,2026-02-20
10000000-0000-0000-0000-000000001008,3,8,50,27.5,2026-03-15
10000000-0000-0000-0000-000000001009,4,9,30,65.0,2026-01-30
10000000-0000-0000-0000-000000001010,4,10,70,21.0,2026-03-10
10000000-0000-0000-0000-000000001011,5,11,90,14.0,2026-02-11
10000000-0000-0000-0000-000000001012,5,12,80,25.0,2026-04-01
10000000-0000-0000-0000-000000001013,6,13,200,3.5,2026-01-12
10000000-0000-0000-0000-000000001014,6,14,100,15.75,2026-02-16
10000000-0000-0000-0000-000000001015,6,15,120,10.5,2026-03-22
10000000-0000-0000-0000-000000001016,7,16,100,11.25,2026-01-28
10000000-0000-0000-0000-000000001017,7,17,40,26.0,2026-02-27
10000000-0000-0000-0000-000000001018,7,18,60,42.0,2026-04-08
10000000-0000-0000-0000-000000001019,8,19,150,6.1,2026-03-05
10000000-0000-0000-0000-000000001020,8,20,35,55.0,2026-04-15
